difficulty,topics,aj_level,title_ar,title_en,words,unknown,coverage_pct,unknown_per_100,publisher_glossed,tashkeel,video,url
1,travel,Introductory,أَهْلًا بِكُمْ في مَقْهَى الجَزِيرَة (الحلقة 1),welcome to Al Jazeera Cafe,88,8,83.0,17.0,5,Y,Y,https://learning.aljazeera.net/en/languageofmedia/%D8%A3%D9%87%D9%84%D8%A7-%D9%88%D8%B3%D9%87%D9%84%D8%A7-%D8%A8%D9%83%D9%85-%D9%81%D9%8A-%D9%85%D9%82%D9%87%D9%89-%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9
1,health,Intermediate,طُولُ الْوُقُوفِ مُضِرٌّ بِالصِّحَّةِ,Standing for long periods harms the health,93,12,87.1,12.9,5,,,https://learning.aljazeera.net/en/languageofmedia/%D8%B7%D9%88%D9%84-%D8%A7%D9%84%D9%88%D9%82%D9%88%D9%81-%D9%85%D8%B6%D8%B1-%D8%A8%D8%A7%D9%84%D8%B5%D8%AD%D8%A9
1,literature|education,Intermediate,مَاذَا تَعْرِفُ عَنْ عُسْرِ الْقِرَاءَةِ؟,What do you know about Dyslexia?,92,15,83.1,16.9,8,Y,,https://learning.aljazeera.net/en/languageofmedia/%D9%85%D8%A7%D8%B0%D8%A7-%D8%AA%D8%B9%D8%B1%D9%81-%D8%B9%D9%86-%D8%B9%D8%B3%D8%B1-%D8%A7%D9%84%D9%82%D8%B1%D8%A7%D8%A1%D8%A9
1,education,Introductory,عُطْلَةُ الْـمَدْرَسَةِ,School vacation,55,8,83.0,17.0,3,Y,Y,https://learning.aljazeera.net/en/generallanguage/%D8%B9%D8%B7%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D8%AF%D8%B1%D8%B3%D8%A9
1,literature|education|technology|economy|culture,Introductory,بَرْنامِجٌ لِتَعْلِيمِ العَربيّة بِإقْلِيمِ نينغشيا,Teaching Arabic in the Ningxia Region,76,10,86.8,13.2,1,,Y,https://learning.aljazeera.net/en/languageofmedia/%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D9%84%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A8%D8%A5%D9%82%D9%84%D9%8A%D9%85-%D9%86%D9%8A%D9%86%D8%BA%D8%B4%D9%8A%D8%A7
1,health|education|food,Elementary,كَيْفَ تُحافظُ على وَزْنك في فَصْل الشّتاء؟,How to avoid gaining weight during the winter?,66,10,84.6,15.4,0,Y,,https://learning.aljazeera.net/en/languageofmedia/8-%D8%A3%D8%B3%D8%A8%D8%A7%D8%A8-%D8%AA%D8%B2%D9%8A%D8%AF-%D9%88%D8%B2%D9%86%D9%83-%D9%81%D9%8A-%D9%81%D8%B5%D9%84-%D8%A7%D9%84%D8%B4%D8%AA%D8%A7%D8%A1
1,health,Intermediate,النَّوْمُ قَدْ يُسَاعِدُكَ عَلَى خَفْضِ الْوَزْنِ,Sleep can help you lose weight,81,14,82.5,17.5,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%86%D9%88%D9%85-%D9%82%D8%AF-%D9%8A%D8%B3%D8%A7%D8%B9%D8%AF%D9%83-%D8%B9%D9%84%D9%89-%D8%AE%D9%81%D8%B6-%D8%A7%D9%84%D9%88%D8%B2%D9%86
1,food,Introductory,أهْلًا بِكَ فِي مَطْعَمِ بَيْرُوت,Welcome to Beirut Restaurant!,39,2,81.8,18.2,0,Y,Y,https://learning.aljazeera.net/en/generallanguage/%D9%85%D8%B7%D8%B9%D9%85-%D8%A8%D9%8A%D8%B1%D9%88%D8%AA
1,health|society,Intermediate,نَمَطُ حَيَاةٍ صِحِّيٌّ مِن أجْلِ كُلًى سَلِيمَةٍ,Healthy lifestyle for healthy kidneys,29,7,75.9,24.1,3,,,https://learning.aljazeera.net/en/languageofmedia/%D9%86%D9%85%D8%B7-%D8%AD%D9%8A%D8%A7%D8%A9-%D8%B5%D8%AD%D9%8A-%D9%85%D9%86-%D8%A3%D8%AC%D9%84-%D9%83%D9%84%D9%89-%D8%B3%D9%84%D9%8A%D9%85%D8%A9
1,travel,Introductory,تَذْكِرَةُ سَفَرٍ,A (travel) ticket,133,26,79.4,20.6,4,Y,Y,https://learning.aljazeera.net/en/generallanguage/%D8%AA%D8%B0%D9%83%D8%B1%D8%A9-%D8%B3%D9%81%D8%B1
1,travel|society|economy|education|technology|literature,Intermediate,سُوقُ الحُفْرَةِ.. مَقْصِدُ الباحِثِينَ عَن المَعْرِفَةِ بِمَدِينَةِ فَاس,“El-Hafra” souk.. Destination for knowledge seekers in the city of Fes,196,40,78.9,21.1,7,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%B3%D9%88%D9%82-%D8%A7%D9%84%D8%AD%D9%81%D8%B1%D8%A9-%D9%85%D9%82%D8%B5%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%AD%D8%AB%D9%8A%D9%86-%D8%B9%D9%86-%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9-%D8%A8%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D9%81%D8%A7%D8%B3
1,health,Intermediate,النَّوْمُ الْجَيِّدُ يُسَاعِدُ عَلَى خَفْضِ الْوَزْنِ,Sleeping well helps weight loss,106,20,80.8,19.2,1,Y,,https://learning.aljazeera.net/en/languageofmedia/%D8%A7%D9%84%D9%86%D9%88%D9%85-%D8%A7%D9%84%D8%AC%D9%8A%D8%AF-%D9%8A%D8%B3%D8%A7%D8%B9%D8%AF-%D8%B9%D9%84%D9%89-%D8%AE%D9%81%D8%B6-%D8%A7%D9%84%D9%88%D8%B2%D9%86
